id,post_date,created_at,uploaded_at,music_file,background,title,description,tags,text1,text2,text3,text4,text5,text6
11,2023-01-09,2023-01-08 18:58:00,2023-01-08 17:24:00,paris.mp3,string_press.mp4,Crazy facts you should know (Pt.5) 😱 ,Comment which one is your favorite. #shorts,"facts, fun",Crazy facts you should know (pt.5),"During World War II, a Great Dane named Juliana was awarded the Blue Cross Medal. She extinguished an incendiary bomb by peeing on it!","The Roman – Persian wars are the longest in history, lasting over 680 years. They began in 54 BC and ended in 628 AD.",An estimated 50% of all gold ever mined on Earth came from a single plateau in South Africa: Witwatersrand.,,
12,2023-01-10,2023-01-09 23:51:00,2023-01-09 23:56:00,paris.mp3,string_press.mp4,Fun facts you should know 🤯 (part 5) ,Comment which one is your favorite! Fun facts you should know 🤯 (part 5) ,"shorts, facts, funfacts, daily facts worth, daily facts shorts, crazy facts, crazy facts complilation, facts compliation, most viewed youtube shorts",Fun facts you should know (pt.5),75% of the world’s diet is produced from just 12 plants and five different animal species.,Violin bows are commonly made from horse hair.,"The youngest Pope in history was Pope Benedict IX, who was 11 years old at the time of the election. He is also the only person to have been the Pope more than once.",,
13,2023-01-11,2023-01-09 23:54:00,2023-01-09 23:56:00,paris.mp3,string_press.mp4,Crazy facts you should know 😱  (part 6)  ,Comment which one is your favorite! Crazy facts you should know 😱  (part 6)  ,"shorts, facts, funfacts, daily facts worth, daily facts shorts, crazy facts, crazy facts complilation, facts compliation",Crazy facts you should know (pt.6),People who post their fitness routine on Facebook are more likely to have psychological problems.,"A cluster of bananas is called a “hand.” Along that theme, a single banana is called a “finger.”",The Ethiopian calendar is 7.5 years behind the Gregorian calendar due to the fact that it has 13 months.,,
14,2023-01-12,2023-01-10 00:30:00,2023-01-10 00:32:00,paris.mp3,string_press.mp4,Crazy facts you should know  🤑 🤯 (Money Edition) ,Comment which one is your favorite! Crazy facts you should know  🤑 🤯 (Money Edition) ,"shorts, facts, funfacts, daily facts worth, daily facts shorts, crazy facts, crazy facts complilation, facts compliation",Crazy facts you should know (Money Edition),"During World War II, in order to collapse the British economy, Germany planned to drop millions of counterfeit bills over London.","Although GPS is free for the world to use, it costs $2 million per day to operate. The money comes from American tax revenue.","China is spending $3 billion to build panda-shaped solar farms, since they want to get more young people interested in renewable energy.",,
15,2023-01-12,2023-01-12 00:57:00,2023-01-12 00:30:00,paris.mp3,string_press.mp4,Surprising Facts to Impress Your Friends 😎,Comment which one is your favorite! Surprising Facts to Impress Your Friends 😎,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Surprising Facts to Impress Your Friends ,The average American child is given $3.70 per tooth that falls out.,Mercury and Venus are the only two planets in our solar system that do not have any moons.,"The world’s first motel was built in 1925 in San Luis Obispo, California. When opened, it cost $1.25 for a two-room bungalow with a full kitchen.",,
16,2023-01-13,2023-01-12 01:09:00,2023-01-12 01:09:00,paris.mp3,string_press.mp4,Fascinating Facts You Didn't Learn in School 🧐,Comment which one is your favorite! Fascinating Facts You Didn't Learn in School 🧐,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Fascinating Facts You Didn't Learn in School,"If you sneeze too hard, you could fracture a rib.",Wearing headphones for just an hour could increase the bacteria in your ear by 700 times.,"In the course of an average lifetime, while sleeping you might eat around 70 assorted insects and 10 spiders, or more.",,
17,2023-01-14,2023-01-12 00:28:00,2023-01-12 01:10:00,paris.mp3,string_press.mp4,Jaw-dropping Facts You Should Hear 🤯 ,Comment which one is your favorite! Jaw-dropping Facts You Should Hear 🤯 ,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Jaw-dropping Facts You Should Hear ,Potato chips cause more weight gain than any other food,Our brains make up on average 2% of our body weight but consume 20% of our caloric intake,"If a bee consumes alcohol and gets drunk, he won’t be let back into the hive until he's sober.",,
18,2023-01-15,2023-01-12 01:04:00,2023-01-14 10:12:00,paris.mp3,string_press.mp4,Mind-Blowing Facts You Never Knew 🤯,Comment which one is your favorite! Mind-Blowing Facts You Never Knew 🤯,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Mind-Blowing Facts You Never Knew,Vanilla flavoring is sometimes made with the urine of beavers.,Llamas can be used as guards against coyote attacks on sheep herds. Just one guard llama and can even kill the attacking coyotes.,"If you heat up a magnet, it will lose its magnetism.",,
19,2023-01-16,2023-01-15 01:09:00,2023-01-15 01:11:00,paris.mp3,string_press.mp4,Impress your friends with these facts 🤓 😎,Comment which one is your favorite! Impress your friends with these facts 🤓 😎,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Cool facts to Impress your Friends,"The oldest unopened bottle of wine was found in a Roman tomb that is over 1,650 years old.",More tornadoes occur in the United Kingdom per square mile than in any other country in the world.,"During WWII, a U.S. naval destroyer won against a Japanese submarine by throwing potatoes at them. The Japanese thought they were grenades.",,
20,2023-01-17,2023-01-15 16:23:00,2023-01-15 16:23:00,paris.mp3,https://www.pexels.com/video/silhouettes-of-buildings-and-ship-in-philadelphia-at-dusk-13082932/,Mind-blowing facts about Cruise Ships 🤯 🚢,Comment which one is your favorite! Mind-blowing facts about Cruise Ships 🤯 🚢,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation, cruise ship facts, cruise ships",Mind-blowing facts about Cruise Ships,The average cruiser gains a pound a day.,"Each week a large cruise ship goes through 20,000 ice cream cones!",Cruise ships have morgues that can store up to 10 bodies at once. The average amount of people that die on cruise ships per year is 200.,,
21,2023-01-18,2023-01-15 16:08:00,2023-01-15 16:13:00,paris.mp3,https://www.pexels.com/video/time-lapse-video-of-a-city-during-nighttime-5595352/,Scary facts that will keep you awake 😱,Comment which one is your favorite! Scary facts that will keep you awake 😱,"shorts, facts, funfacts, daily facts worth, daily facts shorts, scary facts, ",Scary Facts That Will Keep You Awake ,There's a 1-in-3 chance police will never identify your killer if you're murdered in the US.,"There are over 250,000 deaths a year due to medical error.",Dead skin cells are a main ingredient in household dust.,,
